DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
"""INSULIN REGULAR HUMAN U500 """"CONCENTRATE"""" 500 UNIT/ML(3 ML) SUBCUT PEN [169185]",0002882401 [283699],NDC,BOTH,3,ML,1184.14,994.68
"""INSULIN REGULAR HUMAN U500 """"CONCENTRATE"""" 500 UNIT/ML(3 ML) SUBCUT PEN [169185]",0002882427 [283700],NDC,BOTH,3,ML,1184.14,994.68
"""INSULIN REGULAR HUMAN U500""""CONCENTRATE"""" 500 UNIT/ML SUBCUTANEOUS SOLN [19180]",0002850101 [182],NDC,BOTH,20,ML,7042.35,5915.57
ABACAVIR 20 MG/ML ORAL SOLUTION [24439],4970222248 [205814],NDC,BOTH,240,ML,695.36,584.1
ABACAVIR 20 MG/ML ORAL SOLUTION [24439],6498040524 [304005],NDC,BOTH,240,ML,619.5,520.38
ABACAVIR 20 MG/ML ORAL SOLUTION [24439],7700517615 [289114],NDC,BOTH,15,ML,71.66,60.2
ABACAVIR 300 MG TABLET [24438],0378410591 [225355],NDC,BOTH,1,EA ,70.09,58.87
ABACAVIR 300 MG TABLET [24438],4970222118 [205813],NDC,BOTH,1,EA ,77.44,65.05
ABACAVIR 300 MG TABLET [24438],6586207360 [237547],NDC,BOTH,1,EA ,70.09,58.87
ABACAVIR 300 MG TABLET [24438],6909751403 [304164],NDC,BOTH,1,EA ,67.46,56.67
ABACAVIR 300 MGLAMIVUDINE 150 MGZIDOVUDINE 300 MG TABLET [29167],4970221718 [205812],NDC,BOTH,1,EA ,173.25,145.53
ABACAVIR 300 MGLAMIVUDINE 150 MGZIDOVUDINE 300 MG TABLET [29167],6818028607 [252934],NDC,BOTH,1,EA ,156.45,131.42
ABACAVIR 600 MGDOLUTEGRAVIR 50 MGLAMIVUDINE 300 MG TABLET [126772],4970223113 [255692],NDC,BOTH,1,EA ,507.15,426.01
ABACAVIR 600 MGLAMIVUDINE 300 MG TABLET [39301],0093538256 [294931],NDC,BOTH,1,EA ,248.06,208.37
ABACAVIR 600 MGLAMIVUDINE 300 MG TABLET [39301],4970220613 [203717],NDC,BOTH,1,EA ,208.95,175.52
ABACAVIR 600 MGLAMIVUDINE 300 MG TABLET [39301],6818028806 [293566],NDC,BOTH,1,EA ,248.06,208.37
ABACAVIR 600 MGLAMIVUDINE 300 MG TABLET [39301],6909736202 [293782],NDC,BOTH,1,EA ,248.06,208.37
ABIRATERONE 250 MG TABLET [109776],5789415012 [208380],NDC,BOTH,1,EA ,434.7,365.15
ACARBOSE 100 MG TABLET [15896],6438076006 [252278],NDC,BOTH,1,EA ,12.34,10.36
ACARBOSE 25 MG TABLET [22148],0054014025 [162108],NDC,BOTH,1,EA ,6.04,5.07
ACARBOSE 25 MG TABLET [22148],5041986351 [182777],NDC,BOTH,1,EA ,7.35,6.17
ACARBOSE 25 MG TABLET [22148],6438075806 [252276],NDC,BOTH,1,EA ,6.04,5.07
ACEBUTOLOL 200 MG CAPSULE [8939],0378120001 [17887],NDC,BOTH,1,EA ,6.56,5.51
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [103],4580273230 [48050],NDC,BOTH,1,EA ,3.94,3.31
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION [134246],0121050405 [10120],NDC,BOTH,5,ML,18.38,15.44
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION [134246],1785600795 [227069],NDC,BOTH,5,ML,13.13,11.03
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION [134246],5038307905 [273183],NDC,BOTH,5,ML,10.24,8.6
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION [134246],5038307906 [273184],NDC,BOTH,5,ML,10.24,8.6
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML ORAL SOLUTION [14468],0121050416 [10124],NDC,BOTH,473,ML,123.64,103.86
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML ORAL SOLUTION [14468],5038307916 [53908],NDC,BOTH,473,ML,117.34,98.56
ACETAMINOPHEN 120 MGCODEINE 12 MG/5 ML ORAL SOLUTION [14468],7700192812 [287703],NDC,BOTH,12.5,ML,3.15,2.65
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION [132105],0121065700 [295068],NDC,BOTH,5,ML,12.86,10.8
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION [132105],0121065705 [10172],NDC,BOTH,5,ML,12.86,10.8
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION [132105],6668905499 [304024],NDC,BOTH,5,ML,14.96,12.57
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],0121178100 [295084],NDC,BOTH,5,ML,9.19,7.72
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],0121178105 [253576],NDC,BOTH,5,ML,9.19,7.72
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809401559 [298681],NDC,BOTH,5,ML,9.45,7.94
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809401561 [297728],NDC,BOTH,5,ML,9.45,7.94
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809401562 [293558],NDC,BOTH,5,ML,9.45,7.94
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809406159 [350571],NDC,BOTH,5,ML,10.76,9.04
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809406162 [350573],NDC,BOTH,5,ML,10.76,9.04
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809423159 [329057],NDC,BOTH,5,ML,7.09,5.95
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809423161 [329058],NDC,BOTH,5,ML,7.09,5.95
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],6809423162 [329059],NDC,BOTH,5,ML,7.09,5.95
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [132104],7700562305 [354668],NDC,BOTH,5,ML,1.58,1.32
ACETAMINOPHEN 240 MGCODEINE 24 MG/10 ML (10 ML) ORAL SOLUTION [134257],1785600792 [227068],NDC,BOTH,10,ML,10.5,8.82
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],0093015001 [9126],NDC,BOTH,1,EA ,9.45,7.94
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],0406048401 [18491],NDC,BOTH,1,EA ,6.3,5.29
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],0406048462 [18496],NDC,BOTH,1,EA ,4.2,3.53
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],0603233821 [22622],NDC,BOTH,1,EA ,13.91,11.69
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],0603233832 [22624],NDC,BOTH,1,EA ,3.41,2.87
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],5107916101 [55791],NDC,BOTH,1,EA ,2.36,1.98
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],5107916120 [55792],NDC,BOTH,1,EA ,2.36,1.98
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],6068760401 [342024],NDC,BOTH,1,EA ,4.2,3.53
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],6068760411 [342025],NDC,BOTH,1,EA ,4.2,3.53
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],6516203310 [175333],NDC,BOTH,1,EA ,6.3,5.29
ACETAMINOPHEN 300 MGCODEINE 30 MG TABLET [14087],6808437201 [190909],NDC,BOTH,1,EA ,4.2,3.53
ACETAMINOPHEN 300 MGCODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION [134259],0121100800 [297347],NDC,BOTH,12.5,ML,21.79,18.3
ACETAMINOPHEN 300 MGCODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION [134259],0121100812 [297348],NDC,BOTH,12.5,ML,21.79,18.3
ACETAMINOPHEN 300 MGCODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION [134259],5038307912 [273185],NDC,BOTH,12.5,ML,12.08,10.14
